province,total_quakes,major_quakes_m3plus,avg_magnitude,max_magnitude,min_magnitude,avg_depth,max_depth
 Davao Occidental,1,0,1.9,1.9,1.9,17.0,17.0
 Occidental Mindoro,1,0,2.3,2.3,2.3,32.0,32.0
 Surigao Del Norte,1,0,2.3,2.3,2.3,29.0,29.0
Batanagas,1,0,2.4,2.4,2.4,75.0,75.0
Lanao del Norte,1,0,2.5,2.5,2.5,16.0,16.0
Lanao Del Nortel,1,1,3.2,3.2,3.2,9.0,9.0
Island Garden City of Samal (Davao Del Norte,1,0,2.9,2.9,2.9,28.0,28.0
La union,1,0,2.5,2.5,2.5,26.0,26.0
Davao de Oro,1,0,2.2,2.2,2.2,43.0,43.0
Eastren Samar,1,1,4.6,4.6,4.6,33.0,33.0
General Luna,1,0,2.1,2.1,2.1,22.0,22.0
Eatern Samar,1,0,2.9,2.9,2.9,12.0,12.0
Davao Orientall,1,0,2.1,2.1,2.1,27.0,27.0
Davao Occidentall,1,1,3.6,3.6,3.6,120.0,120.0
Davao Orinetal,1,0,2.8,2.8,2.8,15.0,15.0
CamarinesSur,1,0,1.4,1.4,1.4,13.0,13.0
Camarines Surl,1,1,3.0,3.0,3.0,8.0,8.0
Negros Occedental,1,0,2.1,2.1,2.1,20.0,20.0
National Capital Region,1,0,1.1,1.1,1.1,25.0,25.0
Northen Samar,1,0,2.3,2.3,2.3,50.0,50.0
Occ.mindoro,1,0,1.8,1.8,1.8,30.0,30.0
Occidental,1,1,3.8,3.8,3.8,23.0,23.0
Nuevq Ecija,1,0,2.7,2.7,2.7,56.0,56.0
Nueva Vizcaya ,1,0,2.4,2.4,2.4,6.0,6.0
Oriemtal Mindoro,1,1,3.4,3.4,3.4,8.0,8.0
Oriental,1,0,2.4,2.4,2.4,15.0,15.0
Saranggani,1,0,2.3,2.3,2.3,20.0,20.0
San Isidro,1,1,3.7,3.7,3.7,10.0,10.0
Surigao De Norte,1,0,2.7,2.7,2.7,13.0,13.0
Suquijor,1,0,2.1,2.1,2.1,21.0,21.0
Saragani,1,1,3.7,3.7,3.7,32.0,32.0
S.leyte,1,0,2.9,2.9,2.9,29.0,29.0
San Mariano,1,0,2.9,2.9,2.9,17.0,17.0
Sutan Kudarat,1,1,3.5,3.5,3.5,1.0,1.0
Surigao de Sur,1,1,3.1,3.1,3.1,76.0,76.0
SurigaoDel Norte,1,1,3.0,3.0,3.0,13.0,13.0
