north,south,east,west
22.60093460178090300,21.23652968486676700,126.29851857928999000,124.93408946678048000
21.23652968486676700,19.87212476795263400,124.93408946678048000,123.56966035427097000
21.23652968486676700,19.87212476795263400,126.29851857928999000,124.93408946678048000
19.87212476795263400,17.14331493412436200,123.56966035427097000,120.84080212925194000
19.87212476795263400,18.50771985103849800,122.20523124176145000,120.84080212925194000
19.87212476795263400,18.50771985103849800,123.56966035427097000,122.20523124176145000
18.50771985103849800,17.14331493412436200,122.20523124176145000,120.84080212925194000
18.50771985103849800,17.14331493412436200,123.56966035427097000,122.20523124176145000
19.87212476795263400,17.14331493412436200,126.29851857928999000,123.56966035427097000
19.87212476795263400,18.50771985103849800,124.93408946678048000,123.56966035427097000
19.87212476795263400,18.50771985103849800,126.29851857928999000,124.93408946678048000
18.50771985103849800,17.14331493412436200,124.93408946678048000,123.56966035427097000
18.50771985103849800,17.14331493412436200,126.29851857928999000,124.93408946678048000
17.14331493412436200,11.68569526646782300,120.84080212925194000,115.38308567921389000
17.14331493412436200,14.41450510029609300,118.11194390423292000,115.38308567921389000
17.14331493412436200,15.77891001721022800,116.74751479172340000,115.38308567921389000
17.14331493412436200,15.77891001721022800,118.11194390423292000,116.74751479172340000
15.77891001721022800,14.41450510029609300,116.74751479172340000,115.38308567921389000
15.77891001721022800,14.41450510029609300,118.11194390423292000,116.74751479172340000
17.14331493412436200,14.41450510029609300,120.84080212925194000,118.11194390423292000
17.14331493412436200,15.77891001721022800,119.47637301674243000,118.11194390423292000
17.14331493412436200,15.77891001721022800,120.84080212925194000,119.47637301674243000
15.77891001721022800,14.41450510029609300,119.47637301674243000,118.11194390423292000
15.77891001721022800,14.41450510029609300,120.84080212925194000,119.47637301674243000
14.41450510029609300,11.68569526646782300,118.11194390423292000,115.38308567921389000
14.41450510029609300,13.05010018338195700,116.74751479172340000,115.38308567921389000
14.41450510029609300,13.05010018338195700,118.11194390423292000,116.74751479172340000
13.05010018338195700,11.68569526646782300,116.74751479172340000,115.38308567921389000
13.05010018338195700,11.68569526646782300,118.11194390423292000,116.74751479172340000
14.41450510029609300,11.68569526646782300,120.84080212925194000,118.11194390423292000
14.41450510029609300,13.05010018338195700,119.47637301674243000,118.11194390423292000
14.41450510029609300,13.05010018338195700,120.84080212925194000,119.47637301674243000
13.05010018338195700,11.68569526646782300,119.47637301674243000,118.11194390423292000
13.05010018338195700,11.68569526646782300,120.84080212925194000,119.47637301674243000
17.14331493412436200,11.68569526646782300,126.29851857928999000,120.84080212925194000
17.14331493412436200,14.41450510029609300,123.56966035427097000,120.84080212925194000
17.14331493412436200,15.77891001721022800,122.20523124176145000,120.84080212925194000
17.14331493412436200,15.77891001721022800,123.56966035427097000,122.20523124176145000
15.77891001721022800,14.41450510029609300,122.20523124176145000,120.84080212925194000
15.77891001721022800,14.41450510029609300,123.56966035427097000,122.20523124176145000
17.14331493412436200,14.41450510029609300,126.29851857928999000,123.56966035427097000
17.14331493412436200,15.77891001721022800,124.93408946678048000,123.56966035427097000
17.14331493412436200,15.77891001721022800,126.29851857928999000,124.93408946678048000
15.77891001721022800,14.41450510029609300,124.93408946678048000,123.56966035427097000
15.77891001721022800,14.41450510029609300,126.29851857928999000,124.93408946678048000
14.41450510029609300,11.68569526646782300,123.56966035427097000,120.84080212925194000
14.41450510029609300,13.05010018338195700,122.20523124176145000,120.84080212925194000
14.41450510029609300,13.05010018338195700,123.56966035427097000,122.20523124176145000
13.05010018338195700,11.68569526646782300,122.20523124176145000,120.84080212925194000
13.05010018338195700,11.68569526646782300,123.56966035427097000,122.20523124176145000
14.41450510029609300,11.68569526646782300,126.29851857928999000,123.56966035427097000
14.41450510029609300,13.05010018338195700,124.93408946678048000,123.56966035427097000
14.41450510029609300,13.05010018338195700,126.29851857928999000,124.93408946678048000
13.05010018338195700,11.68569526646782300,124.93408946678048000,123.56966035427097000
13.05010018338195700,11.68569526646782300,126.29851857928999000,124.93408946678048000
22.60093460178090300,11.68569526646782300,128.61964701092236000,126.29851857928999000
22.60093460178090300,17.14331493412436200,128.61964701092236000,126.29851857928999000
22.60093460178090300,19.87212476795263400,128.61964701092236000,126.29851857928999000
22.60093460178090300,21.23652968486676700,127.66294769179950000,126.29851857928999000
22.60093460178090300,21.23652968486676700,128.61964701092236000,127.66294769179950000
21.23652968486676700,19.87212476795263400,127.66294769179950000,126.29851857928999000
21.23652968486676700,19.87212476795263400,128.61964701092236000,127.66294769179950000
19.87212476795263400,17.14331493412436200,128.61964701092236000,126.29851857928999000
19.87212476795263400,18.50771985103849800,127.66294769179950000,126.29851857928999000
19.87212476795263400,18.50771985103849800,128.61964701092236000,127.66294769179950000
18.50771985103849800,17.14331493412436200,127.66294769179950000,126.29851857928999000
18.50771985103849800,17.14331493412436200,128.61964701092236000,127.66294769179950000
17.14331493412436200,11.68569526646782300,128.61964701092236000,126.29851857928999000
17.14331493412436200,14.41450510029609300,128.61964701092236000,126.29851857928999000
17.14331493412436200,15.77891001721022800,127.66294769179950000,126.29851857928999000
17.14331493412436200,15.77891001721022800,128.61964701092236000,127.66294769179950000
15.77891001721022800,14.41450510029609300,127.66294769179950000,126.29851857928999000
15.77891001721022800,14.41450510029609300,128.61964701092236000,127.66294769179950000
14.41450510029609300,11.68569526646782300,128.61964701092236000,126.29851857928999000
14.41450510029609300,13.05010018338195700,127.66294769179950000,126.29851857928999000
14.41450510029609300,13.05010018338195700,128.61964701092236000,127.66294769179950000
13.05010018338195700,11.68569526646782300,127.66294769179950000,126.29851857928999000
13.05010018338195700,11.68569526646782300,128.61964701092236000,127.66294769179950000
11.68569526646782300,3.88833435457181050,126.29851857928999000,115.38308567921389000
11.68569526646782300,6.22807559881128370,120.84080212925194000,115.38308567921389000
11.68569526646782300,8.95688543263955240,118.11194390423292000,115.38308567921389000
11.68569526646782300,10.32129034955368900,116.74751479172340000,115.38308567921389000
